Date,SPP,TL 1st Enc. (mm),Full Tag,11/7/2023,11/9/2023,3/19/2024,3/21/2024,11/4/2024,11/5/2024,3/18/2025,3/20/2025,11/3/2025,11/6/2025,,,,,
11/7/2023,RBT,391,989.001030620310,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,264,989.001030620311,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,395,989.001030620312,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,347,989.001030620313,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,354,989.001030620314,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,435,989.001030620315,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,365,989.001030620316,1,1,1,1,1,0,1,1,0,1,,,,,
11/7/2023,LOC,325,989.001030620318,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SCN,109,989.001030620319,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,396,989.001030620320,1,1,1,0,1,1,0,0,0,0,,,,,
11/7/2023,RBC,356,989.001030620321,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,398,989.001030620322,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,257,989.001030620323,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,394,989.001030620324,1,0,1,1,0,0,1,0,0,0,,,,,
11/7/2023,LOC,326,989.001030620325,1,1,1,1,0,1,0,1,1,0,,,,,
11/7/2023,SRN,354,989.001030620326,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,269,989.001030620327,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,RBT,538,989.001030620328,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,357,989.001030620329,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,292,989.001030620330,1,1,1,1,0,1,1,0,0,0,,,,,
11/7/2023,LOC,277,989.001030620331,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,136,989.001030620332,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,605,989.001030620333,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,455,989.001030620334,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,278,989.001030620335,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,156,989.001030620336,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,215,989.001030620337,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,339,989.001030620338,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,366,989.001030620339,1,0,0,0,0,0,0,0,1,0,,,,,
11/7/2023,LOC,337,989.001030620340,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,337,989.001030620341,1,0,0,0,0,1,0,0,0,0,,,,,
11/7/2023,SRN,401,989.001030620342,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,356,989.001030620343,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,248,989.001030620344,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,145,989.001030620345,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,282,989.001030620346,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,314,989.001030620347,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,405,989.001030620348,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,265,989.001030620349,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,313,989.001030620350,1,1,1,0,0,1,1,1,0,0,,,,,
11/7/2023,RBT,375,989.001030620351,1,1,0,0,1,0,0,0,0,0,,,,,
11/7/2023,SRN,329,989.001030620352,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,361,989.001030620353,1,0,0,0,1,0,0,0,0,0,,,,,
11/7/2023,SCN,84,989.001030620354,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,180,989.001030620355,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,SRN,362,989.001030620356,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,302,989.001030620357,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,399,989.001030620358,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,255,989.001030620359,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,128,989.001030620360,1,0,0,0,1,0,0,0,0,0,,,,,
11/7/2023,RBT,231,989.001030620361,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,303,989.001030620362,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,236,989.001030620364,1,1,1,0,1,0,1,0,0,1,,,,,
11/7/2023,LOC,436,989.001030620365,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,RBT,281,989.001030620366,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,75,989.001030620367,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,302,989.001030620368,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,368,989.001030620369,1,1,0,0,0,0,0,0,0,0,,,,,
