Dec Tag #,Species,Capture_History,LOC,RBT,SRN,RBC,RBS,SCN,LengthFall23,LengthSpring24,LengthFall24,LengthSpring25,LengthFall25,TL 1st Enc,Date 1st Enc,,,,,
989.001030620257,SRN,1100000000,0,0,1,0,0,0,396,399.26,406.63,411.13,419.61,396,11/7/2023,,,,,
989.001030620258,LOC,1000000000,1,0,0,0,0,0,272,276.76,321,327.45,361.84,272,11/7/2023,,,,,
989.001030620259,LOC,1100000000,1,0,0,0,0,0,384,387.4,398.35,403.03,414.02,384,11/7/2023,,,,,
989.001030620260,LOC,1000000000,1,0,0,0,0,0,382,385.43,396.96,401.68,413.09,382,11/7/2023,,,,,
989.001030620261,LOC,1100000010,1,0,0,0,0,0,245,250.09,302.36,309.23,364,245,11/7/2023,,,,,
989.001030620262,RBC,1101000000,0,0,0,1,0,0,249,253,304.4,311.22,350.64,249,11/7/2023,,,,,
989.001030620263,LOC,1011011100,1,0,0,0,0,0,416,417,420,421,426.43,416,11/7/2023,,,,,
989.001030620264,LOC,1100000000,1,0,0,0,0,0,379,382.46,394.89,399.65,411.69,379,11/7/2023,,,,,
989.001030620265,SRN,1100000000,0,0,1,0,0,0,400,403.21,409.39,413.83,421.47,400,11/7/2023,,,,,
989.001030620266,RBC,1110000000,0,0,0,1,0,0,313,320,349.32,355.12,380.94,313,11/7/2023,,,,,
989.001030620267,LOC,1100000000,1,0,0,0,0,0,402,405.19,410.78,415.17,422.41,402,11/7/2023,,,,,
989.001030620268,RBC,1101000000,0,0,0,1,0,0,303,306,341.44,347.42,375.63,303,11/7/2023,,,,,
989.001030620269,RBT,1100000000,0,1,0,0,0,0,141,147.34,230.54,239.05,300.81,141,11/7/2023,,,,,
989.001030620270,RBC,1000000000,0,0,0,1,0,0,294,298.49,336.2,342.3,372.09,294,11/7/2023,,,,,
989.001030620271,LOC,1110101111,1,0,0,0,0,0,282,290,320,328,344,282,11/7/2023,,,,,
989.001030620272,SRN,1000000000,0,0,1,0,0,0,372,375.55,390.06,394.93,408.43,372,11/7/2023,,,,,
989.001030620273,LOC,1100000000,1,0,0,0,0,0,163,169.08,245.74,253.9,311.06,163,11/7/2023,,,,,
989.001030620274,LOC,1111100000,1,0,0,0,0,0,380,380,381,386.08,402.32,381,11/7/2023,,,,,
989.001030620275,RBT,1100100000,0,1,0,0,0,0,330,334.06,354,359.69,384.1,330,11/7/2023,,,,,
989.001030620276,RBT,1000000000,0,1,0,0,0,0,146,152.28,234,242.43,303.14,146,11/7/2023,,,,,
989.001030620277,SRN,1100000000,0,0,1,0,0,0,448,450.63,442.54,446.22,443.84,448,11/7/2023,,,,,
989.001030620278,SRN,1100000000,0,0,1,0,0,0,418,420.99,421.82,425.97,429.86,418,11/7/2023,,,,,
989.001030620279,LOC,1100000000,1,0,0,0,0,0,385,388.39,399.04,403.7,414.49,385,11/7/2023,,,,,
989.001030620280,LOC,1110001100,1,0,0,0,0,0,348,355,375.7,383,400.19,348,11/7/2023,,,,,
989.001030620281,LOC,1100000000,1,0,0,0,0,0,375,378.51,392.13,396.96,409.83,375,11/7/2023,,,,,
989.001030620282,LOC,1000100000,1,0,0,0,0,0,344,347.89,364,369.47,390.85,344,11/7/2023,,,,,
989.001030620283,LOC,1000000000,1,0,0,0,0,0,451,453.59,444.61,448.24,445.23,451,11/7/2023,,,,,
989.001030620284,SRN,1000000000,0,0,1,0,0,0,319,323.19,353.46,359.17,383.74,319,11/7/2023,,,,,
989.001030620285,LOC,1111000000,1,0,0,0,0,0,412,413,416.24,420.51,426.09,422,11/7/2023,,,,,
989.001030620286,RBC,1100000000,0,0,0,1,0,0,313,317.26,349.32,355.12,380.94,313,11/7/2023,,,,,
989.001030620287,LOC,1100000000,1,0,0,0,0,0,301,305.41,341.03,347.02,375.35,301,11/7/2023,,,,,
989.001030620288,LOC,1000000000,1,0,0,0,0,0,315,319.24,350.7,356.47,381.87,315,11/7/2023,,,,,
989.001030620289,LOC,1010000000,1,0,0,0,0,0,306,315,347.74,353.57,379.88,306,11/7/2023,,,,,
989.001030620290,LOC,1111000000,1,0,0,0,0,0,313,322,352.63,358.35,383.18,313,11/7/2023,,,,,
989.001030620291,LOC,1100000000,1,0,0,0,0,0,408,411.11,414.92,419.22,425.2,408,11/7/2023,,,,,
989.001030620292,LOC,1000010000,1,0,0,0,0,0,192,197.73,288,295.2,339.58,192,11/7/2023,,,,,
989.001030620293,LOC,1010101000,1,0,0,0,0,0,257,268,340,359,383.62,257,11/7/2023,,,,,
989.001030620294,LOC,1000000000,1,0,0,0,0,0,394,397.28,405.25,409.78,418.68,394,11/7/2023,,,,,
989.001030620295,LOC,1011001111,1,0,0,0,0,0,241,249,324,326,350,241,11/7/2023,,,,,
989.001030620296,RBT,1000000000,0,1,0,0,0,0,289,293.55,332.74,338.92,369.76,289,11/7/2023,,,,,
989.001030620297,RBT,1100000000,0,1,0,0,0,0,391,394.32,403.18,407.75,417.28,391,11/7/2023,,,,,
989.001030620298,SRN,1100000000,0,0,1,0,0,0,377,380.49,393.51,398.3,410.76,377,11/7/2023,,,,,
989.001030620299,SRN,1100000000,0,0,1,0,0,0,384,387.4,398.35,403.03,414.02,384,11/7/2023,,,,,
989.001030620300,RBC,1000000000,0,0,0,1,0,0,313,317.26,349.32,355.12,380.94,313,11/7/2023,,,,,
989.001030620301,LOC,1111111111,1,0,0,0,0,0,410,412,420,421,435,410,11/7/2023,,,,,
989.001030620302,RBC,1001000000,0,0,0,1,0,0,321,332,359.62,365.18,387.89,321,11/7/2023,,,,,
989.001030620303,LOC,1111100010,1,0,0,0,0,0,362,366,380,385.1,402,362,11/7/2023,,,,,
989.001030620304,LOC,1111000000,1,0,0,0,0,0,285,293,332.36,338.54,369.5,285,11/7/2023,,,,,
989.001030620305,LOC,1101000000,1,0,0,0,0,0,262,276,320.47,326.93,361.48,262,11/7/2023,,,,,
989.001030620306,RBC,1111000000,0,0,0,1,0,0,305,307,342.14,348.11,376.1,307,11/7/2023,,,,,
989.001030620307,SRN,1111000000,0,0,1,0,0,0,423,423,423.23,427.34,430.81,423,11/7/2023,,,,,
989.001030620308,LOC,1000000000,1,0,0,0,0,0,390,393.33,402.49,407.08,416.82,390,11/7/2023,,,,,
989.001030620309,LOC,1000000000,1,0,0,0,0,0,349,352.83,374.18,379.41,397.71,349,11/7/2023,,,,,
989.001030620310,RBT,1100000000,0,1,0,0,0,0,391,394.32,403.18,407.75,417.28,391,11/7/2023,,,,,
989.001030620311,LOC,1100000000,1,0,0,0,0,0,264,268.86,315.48,322.05,358.12,264,11/7/2023,,,,,
989.001030620312,LOC,1000000000,1,0,0,0,0,0,395,398.27,405.94,410.45,419.15,395,11/7/2023,,,,,
989.001030620313,SRN,1100000000,0,0,1,0,0,0,347,350.85,372.8,378.06,396.78,347,11/7/2023,,,,,
989.001030620314,SRN,1100000000,0,0,1,0,0,0,354,357.77,377.63,382.78,400.04,354,11/7/2023,,,,,
